sector,quadrant,content_group,bwd_norm,fwd_norm,va_multiplier_simple,domestic_content_share,import_content_share,export_content_share,total_intermediate_share,coef,stderr,pval,sig,direction
A01,"Q2 Forward (Low BL, High FL)",Domestic-intensive,0.8757158415200732,1.548433714807812,0.802967354067603,0.5734111329932597,0.0886113921824955,0.1906310437805712,0.4192150169544715,0.02237491871914,,,,
A02,"Q4 Backward (High BL, Low FL)",Domestic-intensive,1.2206543666774743,0.3736628812024495,0.7131409586882946,0.4160288572567213,0.1208218800134885,0.0728111811651219,0.5690596866984805,0.278850209584542,,,,
A03,"Q4 Backward (High BL, Low FL)",Domestic-intensive,1.2376935103459978,0.3577816020656551,0.7534321351128556,0.456945617566018,0.0675635190683529,0.0188148758473051,0.5258056526496778,0.5184357540928995,0.0965941556624451,2.9729626725538697e-05,***,Positive
B05,"Q4 Backward (High BL, Low FL)",Domestic-intensive,1.2392629562006332,0.1806304768152983,0.7555771454365495,0.4531620524069243,0.1923816546122836,0.0098966978894949,0.5051206426369458,-0.2058654402548733,,,,
B06,"Q2 Forward (Low BL, High FL)",Domestic-intensive,0.676401641922165,1.1975116876234366,0.6923778289305461,0.5205600166747332,0.1943686034557678,0.0045931117807696,0.4728334681678637,-0.1727299454705659,,,,
B07,Q3 Weak (Low BL+FL),Export-intensive,0.8548536981306583,0.0051256354878963,0.8189253105413178,0.6076128143300034,0.1068635893902858,0.942636927316569,0.3717189114708921,0.2286864776419848,,,,
B08,Q3 Weak (Low BL+FL),Domestic-intensive,0.9511105963940996,0.3586172877816417,0.7762982606986795,0.545997263502828,0.1231291572040975,0.1397158307154333,0.425456883136182,-0.0421698907996082,,,,
B09,Q3 Weak (Low BL+FL),Domestic-intensive,0.1993955631154333,0.628599805623626,0.9536657291300208,0.8988618731214906,0.0276034571763087,0.0413922925141292,0.0958077596539451,-0.2751214919480688,0.1340535986832352,0.0534582661393907,*,Negative
C10T12,Q1 Key (High BL+FL),Export-intensive,1.7090541045366243,1.327277737002726,0.752332619711892,0.2995685445625033,0.1048505780214932,0.3433004724713067,0.6929275902920837,0.1339964372735467,0.0758642494545485,0.09261189642352,*,Positive
C13T15,Q1 Key (High BL+FL),Import-intensive,1.9075819725884329,1.735964010941402,0.4913638758196145,0.1210997713657586,0.2004524531899988,0.1614241147320652,0.8584290603140745,0.0728045932147555,,,,
C16,"Q4 Backward (High BL, Low FL)",Export-intensive,1.2896304621294734,0.4259003618304054,0.6860257194305271,0.3798338797757623,0.1816079516110451,0.5528293119226274,0.5999443418291863,0.3023537624690321,0.0327234023967655,1.1755632911558678e-08,***,Positive
C17_18,Q1 Key (High BL+FL),Import-intensive,1.3854677395210129,1.2300483295146296,0.5034918917716836,0.2111710698154374,0.2616323300064665,0.2288410877323369,0.7601325089803949,0.2312573294053981,0.03015798387655,2.228679076843321e-07,***,Positive
C19,"Q2 Forward (Low BL, High FL)",Domestic-intensive,0.4223500210970758,4.262059333996934,0.5044939531418275,0.4027318143874144,0.3974046273757349,0.2163122224906222,0.5945675933033874,0.3483572742826117,0.1284551144457147,0.0134236356301271,**,Positive
C20,Q1 Key (High BL+FL),Import-intensive,1.114506181601865,1.0920075895358723,0.5505794233650942,0.3082870848982884,0.3308674764963263,0.6984543995684384,0.6407957979566761,0.3206399197087576,0.0390722824543671,7.847860006293672e-08,***,Positive
C21,"Q4 Backward (High BL, Low FL)",Domestic-intensive,1.0757436975972967,0.3196799649619188,0.6585261460637808,0.3942980743835326,0.2343205064146287,0.127515772835091,0.5909617357460629,0.2224749242010004,0.0447892749583574,7.41244601145663e-05,***,Positive
C22,Q1 Key (High BL+FL),Import-intensive,1.314169616714019,1.0046848787778182,0.5957366992018343,0.2848139025210613,0.3262710187390412,0.5450387719410899,0.6889769703624115,0.3041830099297166,0.0978369327680664,0.0055297812887553,***,Positive
C23,Q1 Key (High BL+FL),Domestic-intensive,1.399250975773261,1.137333829046464,0.5636117849020577,0.2471670379011819,0.2172652527557183,0.1724554013731061,0.7062199656876649,0.3089025645615725,0.0441529519386515,8.665736954682757e-07,***,Positive
C24A,"Q4 Backward (High BL, Low FL)",Import-intensive,1.147617162734211,0.8838615021391341,0.461722195988329,0.2256065721998901,0.3812908393743909,0.2423989699147471,0.7276138371916937,,,,,
C24B,Q3 Weak (Low BL+FL),Import-intensive,0.6964037214226533,0.0280803697038388,0.4479724991410985,0.2887709183204541,0.4268819123840227,0.9600077416344394,0.664284081455663,,,,,
C25,Q3 Weak (Low BL+FL),Import-intensive,0.8743097445202906,0.633887197263638,0.4752261650271605,0.2875686941731735,0.3764849827810699,0.5083214933751566,0.6842150881173187,0.2374233737828763,0.0593551319337499,0.0007034444231059,***,Positive
C26,"Q4 Backward (High BL, Low FL)",Import-intensive,1.3792118743379311,0.8081308509744513,0.348504740549541,0.102886256453825,0.392839015898764,0.505231159137364,0.8773095155664555,0.2431113202161135,0.0798001018860469,0.0063714578313596,***,Positive
C27,Q3 Weak (Low BL+FL),Import-intensive,0.7510389986055035,0.0859895429110725,0.5337483225787379,0.3686237048862812,0.3401613903149603,0.921872176277285,0.6108819942218783,0.2128817532739016,0.0449068864699577,0.0001251016849064,***,Positive
C28,Q3 Weak (Low BL+FL),Import-intensive,0.9644462286498046,0.1060594659597067,0.475036194927679,0.2728396993780687,0.3810196770259315,0.8614820061205544,0.7019170728732358,0.2262213793707308,0.0523427372606539,0.0003314468605126,***,Positive
C29,"Q4 Backward (High BL, Low FL)",Import-intensive,1.2337655078595764,0.2822121443189879,0.4589966082972633,0.2019298175571047,0.3536181337000501,0.6807238642420022,0.7697589224641516,0.1974087677618273,0.0735991818001836,0.0143242564513086,**,Positive
C301,Q3 Weak (Low BL+FL),Import-intensive,0.9804578534893278,0.1895665060793746,0.554170393279753,0.3465014410923144,0.3830080331852585,0.6350168694370723,0.6400440444749849,0.2052766664984474,,,,
C302T309,"Q4 Backward (High BL, Low FL)",Import-intensive,1.3321787767686608,0.4067194940368077,0.4404097587843374,0.1672553520340644,0.3791661419653385,0.5618942517748324,0.8100922046505875,-0.3131989937444864,0.1576497012370738,0.0608315162769166,*,Negative
C31T33,Q1 Key (High BL+FL),Import-intensive,1.3158511160323048,1.0281297716114663,0.4348623778302593,0.1626449676368661,0.2917525142851597,0.3808277174638693,0.805071234884658,0.0870583751048307,,,,
D,"Q2 Forward (Low BL, High FL)",Import-intensive,0.663548511730572,5.397679531473587,0.3795818624538832,0.2300332591436329,0.4135706719537236,0.0055033159989697,0.7677405423263528,0.1720187755989098,0.0841991913141953,0.0544544271756677,*,Positive
E,"Q4 Backward (High BL, Low FL)",Domestic-intensive,1.095072617097924,0.3249673333647734,0.7505718281674711,0.5160133805939059,0.0894114298699591,0.0001088872006576,0.4721674846666771,-0.054967627616084,,,,
F,Q1 Key (High BL+FL),Domestic-intensive,1.4158892181310698,1.2056279180046805,0.5914331259984171,0.266830180389882,0.1885001516063617,1.2837584918304944e-05,0.7150886328676626,0.0267319020089238,,,,
G,"Q2 Forward (Low BL, High FL)",Domestic-intensive,0.515584353284509,5.590966919613073,0.8778485086154274,0.750937257665062,0.066206778416738,0.2658632587535915,0.2414232143685896,0.3327223342086006,0.0963716522550973,0.002517081694553,***,Positive
H49,Q1 Key (High BL+FL),Domestic-intensive,1.6270468314407385,2.069371856465699,0.686128531136949,0.3454259553414039,0.1026268186266494,0.2211320232114036,0.622441227794221,0.0907156618027351,,,,
H50,Q1 Key (High BL+FL),Export-intensive,1.4541954714063785,1.3149969560639223,0.6799971900820022,0.3472910740649533,0.2413129694466354,0.4709421430381418,0.647963056153362,-0.0358733596154714,,,,
H51,"Q4 Backward (High BL, Low FL)",Export-intensive,1.6269599256806249,0.541053053176692,0.5459847818927391,0.1466240668504332,0.2144099409979356,0.5082084053211279,0.8500371261193859,-0.0264826702565137,,,,
H52,Q3 Weak (Low BL+FL),Domestic-intensive,0.6145757776797096,0.6530287714369202,0.8707145262542799,0.748638832934251,0.0780954576368475,0.0925038298924729,0.2440007892593557,0.5972369746458547,0.1618115508159468,0.001447429830828,***,Positive
H53,Q3 Weak (Low BL+FL),Domestic-intensive,0.7374424260710928,0.5842586305912593,0.8758258893636721,0.6737083228932169,0.0648012363687688,0.1631225303864041,0.3201033587716078,-0.2012021204660206,,,,
I,Q1 Key (High BL+FL),Domestic-intensive,1.471822860722222,2.0634223391661366,0.7497204083597944,0.3969750864175997,0.0853879361187658,3.975279152383912e-06,0.5849417883310053,-0.0191536093500342,,,,
J58T60,Q1 Key (High BL+FL),Import-intensive,1.6254865468233637,1.2563129572520444,0.5123957675875059,0.1649311765462826,0.2485908790946394,0.0352769143641219,0.8268087703712675,0.3580062868247102,0.1529113651486519,0.0296872747107506,**,Positive
J61,Q3 Weak (Low BL+FL),Domestic-intensive,0.6563315807748327,0.6947906303882695,0.8465550206731584,0.6690472855516226,0.1004295588001152,0.1795521700871707,0.3269582302487634,-0.1725265203252774,,,,
J62_63,Q3 Weak (Low BL+FL),Domestic-intensive,0.4700327469644074,0.1864365652609005,0.8818946340359295,0.7709702787533893,0.0722388070936551,0.1607265365540115,0.2250194512418371,-0.2887992087215643,,,,
K,"Q2 Forward (Low BL, High FL)",Domestic-intensive,0.4057933449839988,3.62020790516221,0.9174779349724356,0.8096997586404248,0.0462354873193723,0.039073602241775,0.1889992946685607,-0.1765019426194789,,,,
L,Q3 Weak (Low BL+FL),Domestic-intensive,0.5032693089260498,0.1144540240494932,0.8914298396284829,0.7662375090519928,0.0425805056556799,0.1001869040646033,0.2311802343379682,0.141,0.078,0.084,*,Positive
M,"Q2 Forward (Low BL, High FL)",Domestic-intensive,0.8403830146550106,1.1416608028630222,0.7669588564667569,0.5814657390149169,0.1303691429834132,0.1214097569490526,0.4101412823116153,0.0602346948500121,,,,
N,"Q4 Backward (High BL, Low FL)",Domestic-intensive,1.212091755373751,0.7960638325259533,0.7018706896498008,0.4101193177111474,0.1831984484555648,0.3285060589238223,0.5782090937640252,-0.3106543031651275,0.1478317992751985,0.0484812488759727,**,Negative
O,Q3 Weak (Low BL+FL),Domestic-intensive,0.5392886592712498,0.1007288586273959,0.9049936089982769,0.7766345259014131,0.0496128241950685,1.528247302524581e-05,0.2179544677447648,-0.0594328258908119,,,,
P,Q3 Weak (Low BL+FL),Domestic-intensive,0.7504572430746256,0.0503061164211226,0.8276156784458635,0.6673464107237008,0.0676518431842199,1.0430568249507269e-05,0.3250128054852675,0.0211515872799046,,,,
Q,Q3 Weak (Low BL+FL),Domestic-intensive,0.4631949635911185,0.0161056558373965,0.8791217269280334,0.7725414871813976,0.0529942579857126,1.4900949572097427e-05,0.2220899308650455,-0.1165711992218733,,,,
R,Q3 Weak (Low BL+FL),Domestic-intensive,0.7929876034741958,0.3007438071589459,0.8212799182833115,0.6359731767823678,0.0681786248006357,0.0057166598738584,0.3567580531997849,-0.1028044874245537,,,,
S,Q3 Weak (Low BL+FL),Domestic-intensive,0.9704213085566888,0.3388595630820508,0.770023706858241,0.5599536448131529,0.1013326783079512,4.497377029774524e-05,0.4302760534439414,-0.1632992939079439,,,,
T,Q3 Weak (Low BL+FL),Domestic-intensive,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,
